Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.155-192.168.234.1-49558-80-6,192.168.234.155,192.168.234.1,49558,80,TCP,0.121274,5,3,8,65.9663,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49568-80-6,192.168.234.155,192.168.234.1,49568,80,TCP,0.131622,5,3,8,60.7802,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49576-80-6,192.168.234.155,192.168.234.1,49576,80,TCP,0.143637,5,3,8,55.6960,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49582-80-6,192.168.234.155,192.168.234.1,49582,80,TCP,0.120504,5,3,8,66.3879,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49590-80-6,192.168.234.155,192.168.234.1,49590,80,TCP,0.142990,5,3,8,55.9479,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49598-80-6,192.168.234.155,192.168.234.1,49598,80,TCP,0.130317,5,3,8,61.3887,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49614-80-6,192.168.234.155,192.168.234.1,49614,80,TCP,0.119829,5,3,8,66.7618,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49628-80-6,192.168.234.155,192.168.234.1,49628,80,TCP,0.130123,5,3,8,61.4803,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49640-80-6,192.168.234.155,192.168.234.1,49640,80,TCP,0.120073,5,3,8,66.6262,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49656-80-6,192.168.234.155,192.168.234.1,49656,80,TCP,0.120070,5,3,8,66.6278,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49646-80-6,192.168.234.155,192.168.234.1,49646,80,TCP,0.119928,5,3,8,66.7066,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49664-80-6,192.168.234.155,192.168.234.1,49664,80,TCP,0.119658,5,3,8,66.8571,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49674-80-6,192.168.234.155,192.168.234.1,49674,80,TCP,0.123381,5,3,8,64.8397,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49678-80-6,192.168.234.155,192.168.234.1,49678,80,TCP,0.123548,5,3,8,64.7523,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49692-80-6,192.168.234.155,192.168.234.1,49692,80,TCP,0.123611,5,3,8,64.7192,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49704-80-6,192.168.234.155,192.168.234.1,49704,80,TCP,0.118878,5,3,8,67.2959,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49718-80-6,192.168.234.155,192.168.234.1,49718,80,TCP,0.139400,5,3,8,57.3888,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49716-80-6,192.168.234.155,192.168.234.1,49716,80,TCP,0.139367,5,3,8,57.4024,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49732-80-6,192.168.234.155,192.168.234.1,49732,80,TCP,0.133384,5,3,8,59.9772,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49740-80-6,192.168.234.155,192.168.234.1,49740,80,TCP,0.141350,5,3,8,56.5971,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49746-80-6,192.168.234.155,192.168.234.1,49746,80,TCP,0.141389,5,3,8,56.5815,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49748-80-6,192.168.234.155,192.168.234.1,49748,80,TCP,0.141101,5,3,8,56.6970,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49752-80-6,192.168.234.155,192.168.234.1,49752,80,TCP,0.141344,5,3,8,56.5995,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49760-80-6,192.168.234.155,192.168.234.1,49760,80,TCP,0.140874,5,3,8,56.7884,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49770-80-6,192.168.234.155,192.168.234.1,49770,80,TCP,0.130131,5,3,8,61.4765,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49782-80-6,192.168.234.155,192.168.234.1,49782,80,TCP,0.129961,5,3,8,61.5569,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49786-80-6,192.168.234.155,192.168.234.1,49786,80,TCP,0.129731,5,3,8,61.6660,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49794-80-6,192.168.234.155,192.168.234.1,49794,80,TCP,0.127296,5,3,8,62.8457,0.2000,1.0000,175.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49804-80-6,192.168.234.155,192.168.234.1,49804,80,TCP,0.126679,5,3,8,63.1518,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49808-80-6,192.168.234.155,192.168.234.1,49808,80,TCP,0.126431,5,3,8,63.2756,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49816-80-6,192.168.234.155,192.168.234.1,49816,80,TCP,0.126372,5,3,8,63.3051,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49822-80-6,192.168.234.155,192.168.234.1,49822,80,TCP,0.112445,5,3,8,71.1460,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49836-80-6,192.168.234.155,192.168.234.1,49836,80,TCP,0.118434,5,3,8,67.5482,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49848-80-6,192.168.234.155,192.168.234.1,49848,80,TCP,0.122074,5,3,8,65.5340,0.2000,1.0000,159.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49850-80-6,192.168.234.155,192.168.234.1,49850,80,TCP,0.121890,5,3,8,65.6330,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49864-80-6,192.168.234.155,192.168.234.1,49864,80,TCP,0.118593,5,3,8,67.4576,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49872-80-6,192.168.234.155,192.168.234.1,49872,80,TCP,0.120191,5,3,8,66.5607,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49880-80-6,192.168.234.155,192.168.234.1,49880,80,TCP,0.120051,5,3,8,66.6383,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49888-80-6,192.168.234.155,192.168.234.1,49888,80,TCP,0.119896,5,3,8,66.7245,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49890-80-6,192.168.234.155,192.168.234.1,49890,80,TCP,0.120082,5,3,8,66.6212,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49906-80-6,192.168.234.155,192.168.234.1,49906,80,TCP,0.117853,5,3,8,67.8811,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49916-80-6,192.168.234.155,192.168.234.1,49916,80,TCP,0.122034,5,3,8,65.5555,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49926-80-6,192.168.234.155,192.168.234.1,49926,80,TCP,0.119108,5,3,8,67.1660,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49930-80-6,192.168.234.155,192.168.234.1,49930,80,TCP,0.119210,5,3,8,67.1085,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49938-80-6,192.168.234.155,192.168.234.1,49938,80,TCP,0.117607,5,3,8,68.0232,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49948-80-6,192.168.234.155,192.168.234.1,49948,80,TCP,0.119124,5,3,8,67.1568,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49950-80-6,192.168.234.155,192.168.234.1,49950,80,TCP,0.120716,5,3,8,66.2713,0.2000,1.0000,175.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49952-80-6,192.168.234.155,192.168.234.1,49952,80,TCP,0.114931,5,3,8,69.6069,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49968-80-6,192.168.234.155,192.168.234.1,49968,80,TCP,0.130257,5,3,8,61.4171,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49976-80-6,192.168.234.155,192.168.234.1,49976,80,TCP,0.131882,5,3,8,60.6603,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49992-80-6,192.168.234.155,192.168.234.1,49992,80,TCP,0.145428,5,3,8,55.0101,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50024-80-6,192.168.234.155,192.168.234.1,50024,80,TCP,0.133985,5,3,8,59.7082,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50008-80-6,192.168.234.155,192.168.234.1,50008,80,TCP,0.133969,5,3,8,59.7153,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50038-80-6,192.168.234.155,192.168.234.1,50038,80,TCP,0.133831,5,3,8,59.7770,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50050-80-6,192.168.234.155,192.168.234.1,50050,80,TCP,0.148669,5,3,8,53.8108,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50062-80-6,192.168.234.155,192.168.234.1,50062,80,TCP,0.132744,5,3,8,60.2665,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50074-80-6,192.168.234.155,192.168.234.1,50074,80,TCP,0.132642,5,3,8,60.3127,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50080-80-6,192.168.234.155,192.168.234.1,50080,80,TCP,0.131821,5,3,8,60.6884,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50094-80-6,192.168.234.155,192.168.234.1,50094,80,TCP,0.140213,5,3,8,57.0560,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50098-80-6,192.168.234.155,192.168.234.1,50098,80,TCP,0.134377,5,3,8,59.5340,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-50100-80-6,192.168.234.155,192.168.234.1,50100,80,TCP,0.132145,5,3,8,60.5396,0.2000,1.0000,175.0000,0.1250,0.0000
